number,orientation,E1,E2,G,thickness,nu21,,Ïונוגמה ג ךד/לל^2,,,Ïונוגמה טח ךד/לל^2,
1,0,14700,900,300,0.18,0.32,,,,,,
2,45,14700,900,300,0.18,0.32,,ÌÏא,ךד/לל^2,,ךד/לל^2,ÌÏא
3,0,14700,900,300,0.18,0.32,,1,0.101971621,,1,9.80665
4,-45,14700,900,300,0.18,0.32,,,,,,
5,0,14700,900,300,0.18,0.32,,ÃÏא,ךד/לל^2,,ךד/לל^2,ÃÏא
6,90,14700,900,300,0.18,0.32,,1,101.9716213,,1,0.00980665
7,0,14700,900,300,0.18,0.32,,,,,,
8,-45,14700,900,300,0.18,0.32,,,,,,
9,0,14700,900,300,0.18,0.32,,,,,,
10,45,14700,900,300,0.18,0.32,,,,,,
11,45,14700,900,300,0.18,0.32,,,,,,
12,0,14700,900,300,0.18,0.32,,,,,,
13,-45,14700,900,300,0.18,0.32,,,,,,
14,0,14700,900,300,0.18,0.32,,,,,,
15,90,14700,900,300,0.18,0.32,,,,,,
16,0,14700,900,300,0.18,0.32,,,,,,
17,-45,14700,900,300,0.18,0.32,,,,,,
18,0,14700,900,300,0.18,0.32,,,,,,
19,45,14700,900,300,0.18,0.32,,,,,,
20,0,14700,900,300,0.18,0.32,,,,,,
